tweet,Created-At,From-User,Retweet-Count,Account,Id
Fox News on Twitter: &quot;.@HawleyMO on migrant caravan: &quot;This is an incredibly dangerous situation for the United States. I think the @POTUS is right that we&#39;ve got to meet this with a show of strength.&quot; @AmericaNewsroom https://t.co/K9RTa4pWfO… https://t.co/dinEjbZ1zX&quot;,2018-10-23 10:25:46,Fox News,471.0,Hawley,1054740671616180000.0
Laura Packard on Twitter: &quot;Speaking out w/ @Sebelius and @sharicedavids in Kansas City about politicians like @HawleyMO and @RepKevinYoder that want to take away our health care. #ProtectOurCare… https://t.co/YAOjQqqtFD&quot;,2018-10-22 13:37:35,Laura Packard,38.0,Hawley,1054426556356030000.0
"Stephen Webber on Twitter: &quot;Buchanan Co. voted 71% against @MissouriGOP&#39;s Prop A.  &#10;St. Joe union workers are ready to hold @HawleyMO accountable, &amp; elect pro labor candidates Nov 6!… https://t.co/qv3AwNEayl&quot;",2018-10-22 19:59:33,Stephen Webber,18.0,Hawley,1054522677392740000.0
"Chris on Twitter: &quot;.@HawleyMO is the state&#39;s chief law enforcement officer. Yet, he seems to have great difficulty following the law.&#10;#teamclaire #BlueWave #VoteBlue #GOTV… https://t.co/rYhIlDFRMv&quot;",2018-10-23 16:17:37,Chris,.0,Hawley,1054829213793120000.0
Missouri Rising Action on Twitter: &quot;.@HawleyMO: &quot;We don&#39;t write off any part of the state. That&#39;s a big difference between my opponent and myself. She has been caught on tape saying she is willing to give up votes in rural Missouri.&quot; #MOSen https://t.co/QOZWmo1OOy&quot;,2018-10-23 16:16:24,Missouri Rising Action,.0,Hawley,1054828908804300000.0
"Sean on Twitter: &quot;You response didn&#39;t really refute my claim. Under the dem admin from 08-16, food stamp recipients and welfare recipients sky rocketed. On the flip side. The military pay raises are increasing at rates that we haven&#39;t see in 10 years.… https://t.co/Ru7rjzKrkH&quot;",2018-10-23 16:11:44,Sean,.0,Hawley,1054827737100250000.0
NashvilleResist - Help With #MSSen #FLSen #GAGov!! on Twitter: &quot;.@NRA schemes to avoid campaign finance laws.  Again.  &#10;&#10;❓How much of @HawleyMO money is coming from Russia?  &#10;&#10;‼ Vote @MCCaskill4MO! #MOSen &#10;&#10;https://t.co/5vyaH45gad… https://t.co/L7Ug5Si7Vd&quot;,2018-10-23 16:11:02,Nashville Resist ??????️‍????????????????,8.0,Hawley,1054827557189750000.0
"Sary Sary Quite Contrary on Twitter: &quot;Except...its not at all the same scenario. Here&#39;s an accurate comparison: neighbor runs to your house out of fear because they are in danger, knocks, asks to be let in to be safe from danger. Now you have a choice: meet them with a loaded gun or some GD compassion.… https://t.co/nL70OJr3x5&quot;",2018-10-23 16:08:52,Sary Sary Quite Contrary,.0,Hawley,1054827014652420000.0
"Pamela Walker on Twitter: &quot;Good. @HawleyMO trying to create a problem that doesn&#39;t exist and suppress voting,  but refuses to investigate Russian hacking. https://t.co/PItcG1bPeP&quot;",2018-10-23 16:08:42,Pamela Walker,.0,Hawley,1054826972398980000.0
Josh Hawley on Twitter: &quot;My wife Erin has written a book about being a mom. It comes out today! I’m so proud of her… &quot;,2018-10-23 16:08:39,Robert Oso,11.0,Hawley,1054826960298240000.0
"Ann Byrnes on Twitter: &quot;Nice,lying straight to their face while you take their healthcare away!… &quot;",2018-10-23 16:08:07,Kim Miller,1.0,Hawley,1054826826948850000.0
"Kim Miller on Twitter: &quot;He doesn&#39;t seem to like to respond to constituents.  He likes &quot;safe&quot; forums, no tricky questions.  It&#39;s also hard to keep up with all his lies.… https://t.co/d5w3QhWDac&quot;",2018-10-23 16:03:36,Kim Miller,.0,Hawley,1054825687109040000.0
Josh Hawley on Twitter: &quot;Refueling at my favorite #MOSen… &quot;,2018-10-23 16:02:57,Mopar_fanatic,19.0,Hawley,1054825523497570000.0
"Yellow Dog Democrat on Twitter: &quot;@SpeakerTimJones if you can&#39;t win playing by the rules, cheat!&#10;AmIRight?&#10;@HawleyMO has no morals or scruples.&#10;#fbr #Resist #VoteBlue https://t.co/6eGMSpAwAT&quot;",2018-10-23 16:02:44,Yellow Dog Democrat,.0,Hawley,1054825470800200000.0
"Kim Miller on Twitter: &quot;If these people don&#39;t repeat the lies, they have nothing.  His ads are full of lies, and he continues to lie.  Vote @McCaskill4MO !!… https://t.co/hTQl0lUnNG&quot;",2018-10-23 16:00:41,Kim Miller,.0,Hawley,1054824956066960000.0
"Kim Miller on Twitter: &quot;Is it even possible for this fool to mention her without mentioning Pelosi or Hillary?  Apparently not.  He just makes up lies, because that&#39;s his only real talent.… https://t.co/44ou9qZ7JO&quot;",2018-10-23 15:58:27,Kim Miller,.0,Hawley,1054824392046370000.0
GregHall on Twitter: &quot;Butt out Bette.  This isn’t your business.  Missouri doesn’t need you telling us how to vote!… https://t.co/3ywYWveES5&quot;,2018-10-23 15:56:47,GregHall,.0,Hawley,1054823973853250000.0
"Kim Miller on Twitter: &quot;Ha!  Are we talking about the same guy?  What has he done for Missouri? What &quot;talent and ability&quot;?  To lie?  Well, yes, he does that.  He hasn&#39;t done his job here, and he will only represent his donors if elected.  He&#39;s a fraud.… https://t.co/WR8mVOCMF1&quot;",2018-10-23 15:56:27,Kim Miller,.0,Hawley,1054823890105570000.0
"Kim Miller on Twitter: &quot;He has no platform except to do whatever Trump wants him to do.  He lies while pretending to care, with a smug, fake concern.  He just wants to do whatever his dark money donors want him to do.  He won&#39;t work for his constituents, only his own self-interest.… https://t.co/zQUytCLpOU&quot;",2018-10-23 15:52:32,Kim Miller,.0,Hawley,1054822903890530000.0
Henry on Twitter: &quot;❌❌❌ Josh loves to be part of cover ups in the name of power. It&#39;s kind of his thing. Don&#39;t trust Hawley! He&#39;s not for us. ❌❌❌… https://t.co/k1DldkXKuc&quot;,2018-10-22 13:36:13,Henry,.0,Hawley,1054426209105440000.0
