tweet,Created-At,From-User,Retweet-Count,Account,Id
Democratic Coalition on Twitter: &quot;Three Vegas-area digital billboards are up telling Nevada voters about the time Trump rubber-stamp @DeanHeller voted to cut 122K of his own constituents off their health care. Vote for @RosenForNevada and help us put up more billboards here: https://t.co/zWK84Iw2uj #NVsenate… https://t.co/lqOGoeZUCi&quot;,2018-10-23 15:53:39,Democratic Coalition,43.0,Heller,1054823184506200000.0
Democratic Coalition on Twitter: &quot;Three Vegas-area digital billboards are up telling Nevada voters about the time Trump rubber-stamp @DeanHeller voted to cut 122K of his own constituents off their health care. Vote for @RosenForNevada and help us put up more billboards here: https://t.co/zWK84Iw2uj #NVsenate… https://t.co/lqOGoeZUCi&quot;,2018-10-23 15:53:39,Democratic Coalition,43.0,Heller,1054823184506200000.0
"Human Rights Campaign on Twitter: &quot;FACT: @DeanHeller voted to take away your health care, voted for discrimination in our military and voted against hate crimes legislation. #NVSen #NVPol #ReadyForRosen… https://t.co/8bH3DjhAY9&quot;",2018-10-22 21:30:00,Human Rights Campaign,36.0,Heller,1054545441587680000.0
Human Rights Campaign on Twitter: &quot;.@DeanHeller wants to turn back the clock on equality. Nevadans deserve better. #TurnOUT and vote for Jacky Rosen (@RosenforNevada) on November 6. #NVSen #NVPol #ReadyForRosen #NoHeller… https://t.co/NVsmQ4DwW6&quot;,2018-10-21 22:00:00,Human Rights Campaign,38.0,Heller,1054190604165440000.0
"Soccer Thoughts on Twitter: &quot;We will take back the Supreme Court, even if we have to claw our way in! #SCOTUS #ImpeachKavanaugh #ImpeachTrump #BlueWave2018 https://t.co/OTqAWeFBkI&quot;",2018-10-23 16:11:30,Soccer Thoughts,.0,Heller,1054827675448040000.0
"Tim on Twitter: &quot;Yeah, but in 2012 @DeanHeller hasn&#39;t yet voted to kill tens of thousands of Americans by denying them healthcare and he hasn&#39;t yet voted for the rapey liar for SCOTUS.&#10;Hopefully this year @RosenforNevada kicks him out of power.&#10;#NVSen… https://t.co/KMMrrFUmiA&quot;",2018-10-23 16:08:16,Tim,.0,Heller,1054826860838740000.0
"Michael Soneff on Twitter: &quot;Glad to know your mommy believes you’re not guilty, @DannyTarkanian. I guess voters will have to weigh that against the mountain of evidence against you, and the words of @DeanHeller, the federal government, and everyone else. #NV03… https://t.co/h4dJT2uSdV&quot;",2018-10-23 16:07:56,Michael Soneff,1.0,Heller,1054826780849100000.0
Human Rights Campaign on Twitter: &quot;.@DeanHeller is bad for Nevada. #TurnOUT and vote for @RosenforNevada and defend Nevada’s values.  #NVSen #NVPol #ReadyForRosen #NoHeller… https://t.co/qZTDFsqkvl&quot;,2018-10-23 16:00:00,Human Rights Campaign,3.0,Heller,1054824783982980000.0
Team Dean on Twitter: &quot;&quot;My heart is right here in Nevada&quot; - @DeanHeller &#10;&#10;#HomeMeansNevada #BattleBorn… &quot;,2018-10-23 15:50:46,R.T.Germain,2.0,Heller,1054822457838690000.0
"Heidi ?? ??️‍?? ✊???????? on Twitter: &quot;More are killed through your Gods design. Stop pretending outrage over procedures that have nothing to do with you, not affect you whatsoever. Faux outrage.… https://t.co/AvT0BLRoeq&quot;",2018-10-23 15:49:07,Heidi ?? ??️‍?? ✊????????,.0,Heller,1054822045295480000.0
