tweet,Created-At,From-User,Retweet-Count,Account,Id
NashvilleResist - Help With #MSSen #FLSen #GAGov!! on Twitter: &quot;.@NRA schemes to avoid campaign finance laws.  Again.  &#10;&#10;❓How much of @HawleyMO money is coming from Russia?  &#10;&#10;‼ Vote @MCCaskill4MO! #MOSen &#10;&#10;https://t.co/5vyaH45gad… https://t.co/L7Ug5Si7Vd&quot;,2018-10-23 16:11:02,Nashville Resist ??????️‍????????????????,7.0,McCaskill,1054827557189750000.0
"Kim Miller on Twitter: &quot;If these people don&#39;t repeat the lies, they have nothing.  His ads are full of lies, and he continues to lie.  Vote @McCaskill4MO !!… https://t.co/hTQl0lUnNG&quot;",2018-10-23 16:00:41,Kim Miller,.0,McCaskill,1054824956066960000.0
"NRA on Twitter: &quot;.@McCaskill4MO&#39;s effort to hide her anti-gun positions fits into a broader gun control misinformation campaign, whereby candidates and activists are encouraged to repeat moderate-sounding talking points while harboring plans for severe gun control. https://t.co/Lc7U6XuJUj&quot;",2018-10-21 12:00:01,NRA,1388.0,McCaskill,1054039610978910000.0
NRA on Twitter: &quot;&quot;It is clear why @McCaskill4MO has an F-rating from the @NRA – she wants to take away #2A rights from law-abiding citizens.&quot; –@HawleyMO #MOSenateDebate&quot;,2018-10-18 20:26:19,NRA,599.0,McCaskill,1053079863207390000.0
"Lauren Arthur on Twitter: &quot;Senator McCaskill and @McCaskill4MO will be back in Clay County on Wednesday at 5 pm! Come to discuss issues that matter to you and to get pumped for the midterms. Location is 5708 N. Antioch, Gladstone, MO 64119.&quot;",2018-10-23 14:58:33,Lauren Arthur,8.0,McCaskill,1054809318481190000.0
"Rita Alvar on Twitter: &quot;As if Hawley suing in #TexasFoldEm to kill preexisting conditions coverage wasn’t enough. Missourians, please save our country and vote for Claire McCaskill. TY. #Missouri #MO #StLouis #KansasCity #Springfield #Columbia #JeffersonCity Cc @McCaskill4MO @MomsDemand @AMarch4OurLives… https://t.co/LdOXifPuWL&quot;",2018-10-23 16:15:10,Rita Alvar,.0,McCaskill,1054828600568860000.0
randy lee on Twitter: &quot;@McCaskill4MO @clairecmc @McCaskillOffice I mean  you want to vote against JUSTICE Kavanaugh and lecture the sports athletes? Your so two faced and pathetic! I cant believe I considered voting for you in the beginning!  https://t.co/KUPotE87co&quot;,2018-10-23 16:13:12,randy lee,.0,McCaskill,1054828104198320000.0
"Team Claire on Twitter: &quot;For @ClaireCMC, listening is just part of the job. #MOSen… &quot;",2018-10-23 16:07:42,Barbara McD Whitt,36.0,McCaskill,1054826721990660000.0
"Kim Miller on Twitter: &quot;Josh Hawley doesn&#39;t care about farmers, seniors or constituents.  He only cares about his special interest donors and what tRump wants.  He lies about Claire, and about what he supports.  He will take away or reduce Medicare and Social Security.  He&#39;s NOT for us!… https://t.co/BiitmqEM2W&quot;",2018-10-23 15:44:01,Kim Miller,.0,McCaskill,1054820759909130000.0
"Bill Hammond on Twitter: &quot;“In a recent Reuters-Ipsos poll, 70% of people said they favor Medicare for All, but, reflecting the importance of labeling, 41% said they support single payer.” https://t.co/UIcz9cXKHB&quot;",2018-10-23 15:42:56,WabiSabiBaby,.0,McCaskill,1054820487941940000.0
#TrumpNationalist on Twitter: &quot;They only endorsed you because they&#39;re still fooled by your lies @clairecmc  #MOSen #VoteForHawley… https://t.co/Dbs89EkGSp&quot;,2018-10-18 20:23:54,#TrumpNationalist,.0,McCaskill,1053079257415590000.0
Ded Zeppelin ?? on Twitter: &quot;So you’re saying there has not been recent violence by loony toons leftists against politicians ? https://t.co/ndje4Sw515… https://t.co/ttwRuFETiQ&quot;,2018-10-18 20:23:46,Ded Zeppelin ??,.0,McCaskill,1053079220954510000.0
Tim Avant on Twitter: &quot;Well that&#39;s a good idea.&#10;So tonight I&#39;ll be joining you with the wine will also go to https://t.co/GG6quhEsom  and make a contribution to @cortvo @ReneeHoagenson @McCaskill4MO &#10;&#10;#VoteBlue #FlipItBlue… https://t.co/1l3kAJO78y&quot;,2018-10-18 20:22:50,Tim Avant,.0,McCaskill,1053078988539810000.0
John Jackson on Twitter: &quot;Claire missed an opportunity to point out he said “for those currently collecting Social Security and Medicare “!!!! @clairecmc @Schoolcraft4Mo @SamNewton @McCaskill4MO… https://t.co/p1uKHOsRyp&quot;,2018-10-18 20:20:50,John Jackson,1.0,McCaskill,1053078484816400000.0
Emily A. on Twitter: &quot;Hawley’s lawsuit would increase costs to seniors on Medicare per Politifact. https://t.co/lWlPvi5eBI… https://t.co/NdiCSlnafj&quot;,2018-10-18 20:19:26,Emily A.,2.0,McCaskill,1053078131781890000.0
Committeeman Danny on Twitter: &quot;We support @McCaskill4MO because she supports all of our pre-existing conditions! @cmc21 #MoSenateDebate… &quot;,2018-10-18 20:17:53,Committeeman Danny,10.0,McCaskill,1053077741388660000.0
Becky on Twitter: &quot;&quot;Josh&#39;s campaign has a tortured relationship with the truth.&quot; ~@McCaskill4MO YESSSSS!!! The last thing we need in our government is more lies. #MOSen&quot;,2018-10-18 20:16:49,Becky,5.0,McCaskill,1053077472680600000.0
"Clayton-KnockVoteWin-Huddle on Twitter: &quot;Watching @HawleyMO lie about tax cuts. @McCaskill4MO&#10;Spiting TRUTH that it was insurers in Obamacare who lost some benefit kickback, NOT the people&#39;s medicare social security. No cuts.&#10;#KMOV #MOSenateDebate &#10;@JudyWoodruff please #FactCheck… https://t.co/dFrK5t1T3W&quot;",2018-10-18 20:12:54,Clayton-Knock doors. Vote 11/6-Huddle,6.0,McCaskill,1053076487283340000.0
"Ded Zeppelin ?? on Twitter: &quot;Does Josh have security? Given the recent violence by loony toons leftists , he should prolly #strapup since crazy @McCaskill4MO is losing #MoSenateDebate #getthestrap… https://t.co/Y9DgXNScZl&quot;",2018-10-18 20:12:03,Ded Zeppelin ??,.0,McCaskill,1053076274468530000.0
@McCaskill4MO: We agree! @ClaireCMC fights for all Missourians to get the job done. #MOSen ,2018-10-18 20:08:41,Michelle Ren'ee,20.0,McCaskill,1053075425382020000.0
"Jason Hancock on Twitter: &quot;To cut national debt, @HawleyMO suggests repealing Obamacare (and gets in a line about protecting pre-existing conditions, an issue @McCaskill4MO has been hitting him on). #MoSen… https://t.co/bxPuO3TrcH&quot;",2018-10-18 20:06:01,Jason Hancock,2.0,McCaskill,1053074756688340000.0
"10 Minutes a Day #WaveCast ?? ??️‍?? on Twitter: &quot;Uh, can you come over?… https://t.co/JdyDvPxmAy&quot;",2018-10-18 20:03:21,10 Minutes a Day ?? ??️‍??,.0,McCaskill,1053074083888400000.0
Steff&#39;s Stuff on Twitter: &quot;This is the #GOP.  @RoyBlunt is one of the worst Trumpettes. This is one of Missouri&#39;s senators.&#10;Our other senator is @McCaskill4MO . Claire McCaskill! Missouri needs her!!&#10;Vote for Claire!… https://t.co/krSIckw4zR&quot;,2018-10-18 20:02:24,Steff's Stuff,1.0,McCaskill,1053073845089980000.0
Christopher Ave on Twitter: &quot;And here we go... #MOsen showdown time.&quot;,2018-10-18 20:02:14,Karen Fx,.0,McCaskill,1053073804577130000.0
Team Claire on Twitter: &quot;Happy Missouri Day from @ClaireCMC and #TeamClaire! #MOSen… &quot;,2018-10-18 20:01:55,Aaron Frazee,62.0,McCaskill,1053073722804970000.0
The Chronicle and Opinion on Twitter: &quot;This is the face of someone determined to hold onto power no matter what. Anyone or anything that gets in her way is just collateral damage for the #DemocratParty greater good. @clairecmc @McCaskill4MO #McCaskill… https://t.co/ELZ1qroWqR&quot;,2018-10-18 20:00:16,The Chronicle and Opinion,.0,McCaskill,1053073309049400000.0
"Beef Wellington on Twitter: &quot;This terrifying. This is what happens when you expose there true colors, they must destroy you at all costs. @McCaskill4MO @clairecmc… https://t.co/21c1oHaTuZ&quot;",2018-10-18 19:57:02,Beef Wellington,.0,McCaskill,1053072496365370000.0
Ralf Tebako on Twitter: &quot;There&#39;s NO debate as&#10; to whether or not the&#10; #NRAisATerroristOrganization...&#10;  That&#39;s a no-brainer! ‼️??‼️&#10;&#10; ❌#WalkAwayFromTheNRA ❌… https://t.co/SYBADks3xr&quot;,2018-10-18 19:55:46,Ralf Tebako,.0,McCaskill,1053072174964200000.0
Ty on Twitter: &quot;Investigate @Project_Veritas for what?&#10;Last time I checked it’s not against the law to show the truth. &#10;The people said what they said and did what they did. &#10;The people that NEED to be investigated are @clairecmc and @McCaskill4MO… https://t.co/8JGCRxM0Jl&quot;,2018-10-18 19:51:54,Ty,.0,McCaskill,1053071203215140000.0
????Spen ???????? on Twitter: &quot;#Missouri we’re gonna keep reminding you of the #LeftistMOB hack that wants to steal your vote...@McCaskill4MO @clairecmc has been ripping you off for years! She lies to get power over you!! #WalkAwayFromDemocratsForever #VoteRedToSaveMissouri #VoteRedtoSaveAmerica… https://t.co/f3txyINJK6&quot;,2018-10-18 19:51:34,????Spen ????????,1.0,McCaskill,1053071119895460000.0
Royal Blue Smiles on Twitter: &quot;.@clairecmc @McCaskill4MO is outraged by that @Project_Veritas video which exposed the deception and outright lies she is willing to tell her constituents to get re-elected.  She isn’t  sorry about what she did but absolutely infuriated that she got caught in her lies!… https://t.co/rj1hi5Fb4W&quot;,2018-10-18 19:51:34,Royal Blue Smiles,4.0,McCaskill,1053071118750440000.0
The Cussing Pundit™ Petty Ass Auntie on Twitter: &quot;OMG I just got a contact.&#10;Weed makes me run through my purse and clean grout.&#10;And that was 1970&#39;s weed what y&#39;&#39;all doing now will kill me. Pass me some tequila &amp; Henny.… https://t.co/iuAFRafP9A&quot;,2018-10-18 19:48:43,The Cussing Pundit™ Petty Ass Auntie,.0,McCaskill,1053070400979160000.0
cmdorsey⭐⭐⭐ #BENGHAZI on Twitter: &quot;cc: @McCaskill4MO @clairecmc &#10;&#10;What a shameful shameful shameful shameful person. And she is too ignorant to realize what a horse&#39;s ass she is… https://t.co/Fyw142D6zT&quot;,2018-10-18 19:47:25,cmdorsey⭐⭐⭐ #BENGHAZI,.0,McCaskill,1053070073538210000.0
Crippled Jerk ?? I voted to #ProtectOurCare on Twitter: &quot;I&#39;ve got the liquid form. It tastes like shit but BAM! The results are immediate. The spray is better.… https://t.co/TeWZwHjUaT&quot;,2018-10-18 19:38:55,Crippled Jerk ?? #ProtectOurCare,.0,McCaskill,1053067936271910000.0
"BEN BROADNAX SR. on Twitter: &quot;@KamalaHarris Im insulted by my party. As a past strong elected official I reached our 2 @McCaskill4MO @clairecmc no one attempted to reply. My dist &amp; 30,000 fb followers have decided a few races. I bet @HawleyMO wd respond. Ijs don&#39;t take us 4granted like 2016.&quot;",2018-10-18 19:36:59,BEN BROADNAX SR.,.0,McCaskill,1053067449707450000.0
Crippled Jerk ?? I voted to #ProtectOurCare on Twitter: &quot;Those are fancy. Where would I wear those to? Some uppity dinner table?… https://t.co/TbV81tOM56&quot;,2018-10-18 19:35:46,Crippled Jerk ?? #ProtectOurCare,.0,McCaskill,1053067141900100000.0
