tweet,Created-At,From-User,Retweet-Count,Account,Id
"Rick Scott on Twitter: &quot;.@SenBillNelson has been in Washington so long he’s confused about what’s happening in Florida. Under Governor Scott, Florida spends more on education today than at any time in our state’s history, including more on per pupil funding than ever before.… https://t.co/dmdCdw5sug&quot;",2018-10-22 15:56:54,Rick Scott,289.0,Nelson,1054461613250700000.0
Fox News on Twitter: &quot;Former Vice President @JoeBiden participates in a Get Out the Vote rally with Mayor @AndrewGillum and @SenBillNelson.  https://t.co/vhq2MvXRZP&quot;,2018-10-22 12:52:36,Fox News,70.0,Nelson,1054415232414690000.0
"Rick Scott on Twitter: &quot;The difference between @SenBillNelson and Governor Scott on taxes is clear. If you support lower taxes on Florida families and businesses, make sure to vote early for Rick Scott. You can find your early voting times and locations here: https://t.co/pIm3H8jk8b… https://t.co/l9GGmPedcV&quot;",2018-10-21 17:34:02,Rick Scott,325.0,Nelson,1054123672296960000.0
(((TheRReport))) on Twitter: &quot;It&#39;s 2 points - it&#39;s margin of error - it&#39;s not a lead - Re-elect @SenBillNelson (D) in a #BlueWave for a senator for ALL Floridians  ... Poll: Scott holds narrow lead over Nelson in Florida Senate race https://t.co/Osf9Kw3SdD&quot;,2018-10-23 16:02:56,(((TheRReport))),.0,Nelson,1054825519194210000.0
Dawn Catherine on Twitter: &quot;@SenBillNelson campaigning in #Orlando for the #bluewave… &quot;,2018-10-23 16:01:55,Dawn Catherine,.0,Nelson,1054825266437150000.0
Teresa??Snowflake❄ on Twitter: &quot;And oversaw the largest Medicare fraud scheme in American history.  How is this man not behind bars?… &quot;,2018-10-23 16:00:42,Teresa Snowflake❄#BetoForTexas??,1.0,Nelson,1054824957878900000.0
Clark Mindock on Twitter: &quot;Now @SenBillNelson is up: “Orlando you’re beautiful.” Says the US is at an important inflection. Meanwhile his opponent’s supporters have been driving by and yelling throughout the rally&quot;,2018-10-23 15:59:03,Clark Mindock,.0,Nelson,1054824543221620000.0
"Greg Peterson on Twitter: &quot;Robocallers twice today from this number. #FTC.gov, #robocaller, #Verizon #FCC.gov, get to work @SenBillNelson @marcorubio @RepStephMurphy maybe @POTUS  will step in? Robocallers are terrorists… https://t.co/DEvLNCKOsN&quot;",2018-10-23 15:58:49,Greg Peterson,.0,Nelson,1054824482882360000.0
"Ryan Powers on Twitter: &quot;46 years in politics, and the one thing @SenBillNelson has accomplished is a mastery in the art of hypocrisy...especially when it comes to big money in politics #FLSen https://t.co/TBvtxAEb6y… https://t.co/dpcBd1GaVa&quot;",2018-10-23 15:55:20,Ryan Powers,.0,Nelson,1054823607644380000.0
"BACFA       ?? vs ???? on Twitter: &quot;clean air, clean water, no superpacs... yadda yadda yadda... oh and &quot;Why be racist, sexist, homophobic, or transphobic when you could just be quiet?&quot;  Just wrecked. @SenBillNelson ? forget it.… https://t.co/RQise8neHZ&quot;",2018-10-23 15:49:16,BACFA       ?? vs ????,1.0,Nelson,1054822080905170000.0
"Bryn A. Bee ?? on Twitter: &quot;Lol, open borders in Florida! ??????We are surrounded by water. We are nothing but open borders.&#10;&#10;He is for immigration reform and treating people humanly. &#10;&#10;I work in healthcare. It’s a disaster and shameful how people go bankrupt affording their healthcare needs.… https://t.co/TdL4i6PEoz&quot;",2018-10-23 15:49:10,Bryn A. Bee ??,.0,Nelson,1054822054887920000.0
Gail on Twitter: &quot;Voting red! Make sure good looking guys are on alert from Cory Booker when in bathrooms! Where are you Cory? This won’t go away… https://t.co/XvjIbqEXPh&quot;,2018-10-23 15:49:09,Gail,.0,Nelson,1054822050194430000.0
"Proud Trump Supporter on Twitter: &quot;Floridians must vote for @FLGovScott to the Senate, he has done a great job as your Governor. The current Senator @SenBillNelson has been in office for 18 years and has done almost nothing, just another dishonest liberal politician. Rick Scott has boomed the Florida economy.&quot;",2018-10-23 15:48:27,Proud Trump Supporter,.0,Nelson,1054821873899490000.0
Gail on Twitter: &quot;You are very delusional! Antifa thugs: democrats;KKK: democrats; Mobs: democrats; violence: democrats . You voted against America and Americans! Sad ?? you are so uneducated about the evil democrats… https://t.co/2W7E2cdcqu&quot;,2018-10-23 15:46:59,Gail,.0,Nelson,1054821508357460000.0
Kevin Kuzma on Twitter: &quot;Damn they’re gonna walk all the way to Florida? Or are they planning on swimming here?… https://t.co/lNiqvmrW6Z&quot;,2018-10-23 15:42:24,Kevin Kuzma,.0,Nelson,1054820352088560000.0
"Melissa Cangiolosi on Twitter: &quot;Excited and proud to vote for @AndrewGillum, @SenBillNelson, and @kenorganes today! Early voting was so easy.  Get it done and #BringItHome!… https://t.co/vdPTWU7QMn&quot;",2018-10-23 15:39:56,Melissa Cangiolosi,.0,Nelson,1054819733969790000.0
"Sharon Clark ✡ on Twitter: &quot;Gillum  never talked about open boarders.... Democrats never advocated for open boarders.  Gillum is not a socialist.... he never said he was.  As a matter of fact, he supported HRC not Sanders.  Facts are funny things.... learn the facts.&#10;&#10;https://t.co/MqvrGnNz2T… https://t.co/vYU72Y7QMq&quot;",2018-10-23 15:39:54,Sharon Clark,.0,Nelson,1054819722104050000.0
"Stone Cold on Twitter: &quot;FLORIDA NEVER FORGET&#10;Rick Scott (R-FL) was fined $1.7B for Medicare fraud, and then under oath, invoked the Fifth Amendment 75 times.… https://t.co/NPF6xaycKW&quot;",2018-10-23 15:38:28,Top Cat,.0,Nelson,1054819362941690000.0
"??MadamePresident?? on Twitter: &quot;You&#39;re absolutely right, Tom. What works in one state may or may not work in another state. I&#39;m proud of .@AndrewGillum and .@SenBillNelson messages. Their messages fit Florida. ❤… https://t.co/FbKgcIomeg&quot;",2018-10-23 15:38:06,??MadamePresident??,.0,Nelson,1054819269962330000.0
chris on Twitter: &quot;@NelsonForSenate  is for partial birth baby killings  https://t.co/xYfvbNbcQX … SCOTUS upheld band 5-4. we cannot allow Dems to revoke this law. @FLGovScott @GOP  @FoxNews  @seanhannity #RedWave2018… https://t.co/e54hufLUm2&quot;,2018-10-23 15:31:03,chris,.0,Nelson,1054817497860370000.0
BJRoché on Twitter: &quot;No vote for @ScottforFlorida and a Yes for @SenBillNelson . Suck it Gollum!… &quot;,2018-10-23 15:26:11,BJRoché (Bernadette),.0,Nelson,1054816271223740000.0
Laura Register on Twitter: &quot;Incredible morning with @JoeBiden supporting @SenBillNelson… &quot;,2018-10-23 15:23:01,Laura Register,.0,Nelson,1054815473299320000.0
"StPete Polls on Twitter: &quot;We have asked about self-ID in polls before, and the problem is the % of Rs and Ds that claim independent status fluctuates, so you don&#39;t really know from poll to poll how many registered Ds or Rs are claiming they are &quot;I&quot;s if you don&#39;t also ask them how they are registered.… https://t.co/NurDjZ1sAj&quot;",2018-10-21 17:33:48,StPete Polls,.0,Nelson,1054123614159720000.0
Debbie Russell on Twitter: &quot;The Phoenix.  We are reborn from the flame!   ?? #FlipTheSenate… &quot;,2018-10-21 17:32:27,Debbie Russell,3.0,Nelson,1054123272206520000.0
Tim Hogan on Twitter: &quot;Vote like your child&#39;s future depends on it. Because it does. Why? Because Russians &amp; Saudis own the @WhiteHouse so @TheDemocrats must control Congress to save our nation. ????&#10;@RosenforNevada @HeidiHeitkamp @kyrstensinema @SenBillNelson @BetoORourke @clairecmc @PhilBredesen @AZse… https://t.co/zZzXtZgBxF&quot;,2018-10-21 17:32:07,Tim Hogan,9.0,Nelson,1054123188743950000.0
"Citizenmdg on Twitter: &quot;There had better be daily, long, full color political ads showing DeSantis&#39; violent mob actions against Pelosi. #GetDeSantisOut… https://t.co/pfPK9BQDQA&quot;",2018-10-21 17:24:56,Citizenmdg,.0,Nelson,1054121382173400000.0
Maggie Resists Trump on Twitter: &quot;That&#39;s a bot… https://t.co/vIu4930Ip9&quot;,2018-10-21 17:23:58,Maggie Resists Trump,.0,Nelson,1054121136399770000.0
"The Palm Beach Post on Twitter: &quot;Edward Rodgers, civil rights pioneer and county&#39;s first black judge, dead at 91 https://t.co/WrhvEBmXkD&quot;",2018-10-21 17:18:11,VOTE November 6th,147.0,Nelson,1054119683396390000.0
Glenn Sutton on Twitter: &quot;Please Florida Help Retire Crooked Rick Scott #FatNixons puppet we deserve better after his time as Gov we don&#39;t need him in Washington representing Himself and #FatNixon  &#10;Please help re elect @SenBillNelson &#10;#VetsResistSquadron #VetsAgainstTrump #VoteBlueToSaveAmericanDemocracy… https://t.co/yhEPqZxCP2&quot;,2018-10-21 17:14:36,Glenn Sutton,.0,Nelson,1054118780782200000.0
"Puesto Loco™ on Twitter: &quot;Florida CNN Poll, Oct 21 among likely voters ―&#10;#FLGov • Dem @AndrewGillum +12 over GOP Ron DeSantis&#10;#FLSen • Dem @SenBillNelson +5 over GOP Rick Scott&#10;https://t.co/9jljvZMXMz… https://t.co/higJfMqQEt&quot;",2018-10-21 17:13:41,Puesto Loco™,15.0,Nelson,1054118547918650000.0
"Russell on Twitter: &quot;Don&#39;t believe the polls, don&#39;t take them for granted! Get out there and canvass and vote like your lives depend upon it. Because they do!… https://t.co/ZOnRjYllHX&quot;",2018-10-21 17:10:09,Russell,1.0,Nelson,1054117661980800000.0
"Puesto Loco™ on Twitter: &quot;Florida CNN Poll, Oct 21 among likely voters ―&#10;#FLGov • Dem @AndrewGillum +12 over GOP Ron DeSantis&#10;#FLSen • Dem @SenBillNelson +5 over GOP Rick Scott&#10;https://t.co/9jljvZMXMz&quot;",2018-10-21 17:07:53,Puesto Loco™,14.0,Nelson,1054117089785580000.0
"Puesto Loco™ on Twitter: &quot;Florida CNN Poll, Oct 21 among likely voters ―&#10;#FLGov • Dem @AndrewGillum +12 over GOP Ron DeSantis&#10;#FLSen • Dem @SenBillNelson +5 over GOP Rick Scott&#10;https://t.co/9jljvZMXMz… https://t.co/ylgmXCtmAh&quot;",2018-10-21 17:06:59,Puesto Loco™,4.0,Nelson,1054116862269760000.0
John Harwood on Twitter: &quot;wow Gillum +12 over DeSantis. Nelson +5 over Scott https://t.co/d91vnFQBuS&quot;,2018-10-21 17:06:49,Mary,44.0,Nelson,1054116819991180000.0
Edward Rutherford on Twitter: &quot;Complete lie.. no plans to cut Social Security.. just the opposite.. biggest yearly  increase in 20 years.. this year.. 2018..… https://t.co/lEEO64Y3OQ&quot;,2018-10-21 17:06:34,Edward Rutherford,.0,Nelson,1054116760788460000.0
"Puesto Loco™ on Twitter: &quot;Florida CNN Poll, Oct 21 among likely voters ―&#10;#FLGov • Dem @AndrewGillum +12 over GOP Ron DeSantis&#10;#FLSen • Dem @SenBillNelson +5 over GOP Rick Scott&#10;https://t.co/9jljvZMXMz… https://t.co/RREgB8yIyV&quot;",2018-10-21 17:06:29,Puesto Loco™,2.0,Nelson,1054116736805600000.0
"Kimberly on Twitter: &quot;the vote, the top two vote getters will advance to another special election later in the year. Party labels do not appear on the ballot.… https://t.co/kKf9kHVX8j&quot;",2018-10-21 17:04:11,Kimberly,.0,Nelson,1054116160138950000.0
"Kimberly on Twitter: &quot;don&#39;t forget Mike Espy in Mississippi!  @espyforsenate is running a strong campaign!  It&#39;s a special election - will be held on Nov. 6, Election Day throughout the country. It&#39;s a runoff election, and if none of the four candidates receive over 50 percent of… https://t.co/sJQsajeTN8&quot;",2018-10-21 17:04:02,Kimberly,.0,Nelson,1054116122264460000.0
