1 articles downloaded from cnbc_politics  using newspaper, url:  https://www.cnbc.com/2018/10/23/dow-set-for-triple-digit-losses-at-the-open-amid-rising-global-tensions.html
2 articles downloaded from cnbc_politics  using newspaper, url:  https://www.cnbc.com/2018/10/23/european-markets-khashoggi-crisis-italy-budget-brexit-in-focus.html
3 articles downloaded from cnbc_politics  using newspaper, url:  https://www.cnbc.com/2018/10/23/asia-markets-saudi-arabia-us-china-trade-war-currencies-in-focus.html
4 articles downloaded from cnbc_politics  using newspaper, url:  https://www.cnbc.com/2018/10/23/gold-markets-saudi-arabia-brexit-italian-budget-in-focus.html
1 articles downloaded from washingtonpost_politics  using newspaper, url:  https://www.washingtonpost.com/business/2018/10/23/so-many-people-are-buying-mega-millions-tickets-that-number-combinations-are-running-out/
2 articles downloaded from washingtonpost_politics  using newspaper, url:  https://www.washingtonpost.com/business/2018/10/23/youve-won-mega-millions-jackpot-time-hide/
3 articles downloaded from washingtonpost_politics  using newspaper, url:  https://www.washingtonpost.com/nation/2018/10/22/utah-refused-prosecute-their-sexual-assault-cases-so-four-women-set-out-do-it-themselves/?utm_term=.209c151f74d8
4 articles downloaded from washingtonpost_politics  using newspaper, url:  https://www.washingtonpost.com/politics/2018/10/22/fox-friends-voter-panel-rebels-when-asked-about-migrant-caravan/?utm_term=.0c9b51e623e6
2 articles downloaded from cnn_politics  using newspaper, url:  https://www.cnn.com/2018/04/09/politics/rick-scott-running-senator/index.html
3 articles downloaded from cnn_politics  using newspaper, url:  https://www.politico.com/story/2014/11/rick-scott-florida-self-funding-112403
4 articles downloaded from cnn_politics  using newspaper, url:  https://www.cnn.com/2018/04/09/politics/senate-key-races-florida-tennessee/index.html
1 articles downloaded from cnn_Bill Nelson  using newspaper, url:  https://www.sun-sentinel.com/news/florida/fl-fea-felonious-florida-season-2-premiere-20181001-story.html#nt=notification
2 articles downloaded from cnn_Bill Nelson  using newspaper, url:  https://www.sun-sentinel.com/news/politics/fl-ne-andrew-gillum-bill-nelson-cnn-poll-20181022-story.html
4 articles downloaded from cnn_Bill Nelson  using newspaper, url:  https://www.cnn.com/2018/10/21/politics/cnn-poll-florida-senate-governor/index.html
2 articles downloaded from cnn_Rick Scott  using newspaper, url:  https://www.cnn.com/2018/04/09/politics/rick-scott-running-senator/index.html
3 articles downloaded from cnn_Rick Scott  using newspaper, url:  https://www.politico.com/story/2014/11/rick-scott-florida-self-funding-112403
4 articles downloaded from cnn_Rick Scott  using newspaper, url:  https://www.cnn.com/2018/04/09/politics/senate-key-races-florida-tennessee/index.html
2 articles downloaded from cnn_Dean Heller  using newspaper, url:  https://www.cnn.com/2018/04/09/politics/rick-scott-running-senator/index.html
3 articles downloaded from cnn_Dean Heller  using newspaper, url:  https://www.politico.com/story/2014/11/rick-scott-florida-self-funding-112403
4 articles downloaded from cnn_Dean Heller  using newspaper, url:  https://www.cnn.com/2018/04/09/politics/senate-key-races-florida-tennessee/index.html
2 articles downloaded from cnn_Jacky Rosen  using newspaper, url:  https://www.cnn.com/2018/04/09/politics/rick-scott-running-senator/index.html
3 articles downloaded from cnn_Jacky Rosen  using newspaper, url:  https://www.politico.com/story/2014/11/rick-scott-florida-self-funding-112403
4 articles downloaded from cnn_Jacky Rosen  using newspaper, url:  https://www.cnn.com/2018/04/09/politics/senate-key-races-florida-tennessee/index.html
2 articles downloaded from cnn_Claire McCaskill  using newspaper, url:  https://www.cnn.com/2018/04/09/politics/rick-scott-running-senator/index.html
3 articles downloaded from cnn_Claire McCaskill  using newspaper, url:  https://www.politico.com/story/2014/11/rick-scott-florida-self-funding-112403
4 articles downloaded from cnn_Claire McCaskill  using newspaper, url:  https://www.cnn.com/2018/04/09/politics/senate-key-races-florida-tennessee/index.html
2 articles downloaded from cnn_Josh Hawley  using newspaper, url:  https://www.cnn.com/2018/04/09/politics/rick-scott-running-senator/index.html
3 articles downloaded from cnn_Josh Hawley  using newspaper, url:  https://www.politico.com/story/2014/11/rick-scott-florida-self-funding-112403
4 articles downloaded from cnn_Josh Hawley  using newspaper, url:  https://www.cnn.com/2018/04/09/politics/senate-key-races-florida-tennessee/index.html
